,class,anno_key,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
262,0,NAN,2.649539542,-3.568130035,-1.569935303,9.496551819,10.26551242
263,0,NAN,2.659511542,-3.580254822,-1.454525299,9.740394745,10.47898651
264,0,NAN,2.669484542,-3.600612488,-1.398841095,9.794432373,10.52863107
265,0,NAN,2.679456542,-3.58743988,-1.391656036,9.622440033,10.36329019
266,0,NAN,2.689429542,-3.481460266,-1.309925995,9.365125122,10.07680705
267,0,NAN,2.699401542,-3.333118744,-1.398990784,8.876840515,9.584631099
268,0,NAN,2.709374542,-3.153492279,-1.744921417,8.129295044,8.892395752
269,0,NAN,2.719346542,-3.097658386,-2.145488434,7.324418793,8.236851264
270,0,NAN,2.729319542,-2.869981842,-2.342778168,6.783443756,7.729198827
271,0,NAN,2.739291542,-2.515219574,-2.581980743,6.633305969,7.549417338
272,0,NAN,2.749264542,-2.179168396,-2.683469696,7.306456146,8.082950323
273,0,NAN,2.759236542,-1.82650177,-2.502496033,8.225993958,8.790083714
274,0,NAN,2.769209542,-1.565893707,-2.214345245,9.192534027,9.584259481
275,0,NAN,2.779181542,-1.585053864,-2.001188507,10.10099487,10.41860109
276,0,NAN,2.789154542,-1.865570526,-1.881587219,10.37522461,10.70822159
277,0,NAN,2.799126542,-2.22781723,-2.017055511,10.08692413,10.52509957
278,0,NAN,2.809099542,-2.531685333,-2.405946808,9.511221313,10.13219332
279,0,NAN,2.819071542,-2.987337799,-2.670596466,8.928333435,9.786286862
280,0,NAN,2.829044542,-3.281476135,-2.724484406,8.328081665,9.356700547
281,0,NAN,2.839016542,-3.046764221,-2.778671722,7.768395538,8.794984821
282,0,NAN,2.848989542,-2.334545288,-3.047662354,7.608378296,8.522075323
283,0,NAN,2.858961542,-1.30229187,-3.437601471,8.121211853,8.91443492
284,0,NAN,2.868934542,-0.2830613708,-3.576063538,8.34275116,9.081291267
285,0,NAN,2.878906542,0.2667453003,-3.592229919,8.348289642,9.092260929
286,0,NAN,2.888878542,0.2243833923,-3.694766693,8.712182922,9.465927324
287,0,NAN,2.898851542,-0.2900967407,-3.848796387,9.06469986,9.852216669
288,0,NAN,2.908823542,-1.298250275,-3.806135101,9.281000061,10.11479512
289,0,NAN,2.918796542,-2.403252411,-3.877536621,9.29746582,10.35634024
290,0,NAN,2.928768542,-3.421435089,-4.118086395,9.335636444,10.76192183
291,0,NAN,2.938741542,-4.047433319,-4.142335968,9.173673248,10.84882227
292,0,NAN,2.948713542,-4.139641571,-4.233197021,8.881331177,10.67401671
293,0,NAN,2.958686542,-3.710633698,-4.432582397,8.301137695,10.11560558
294,0,NAN,2.968658542,-2.950813751,-4.565056915,8.078849945,9.737292379
295,0,NAN,2.978631542,-2.301464081,-4.750670929,8.43286377,9.948809102
296,0,NAN,2.988603542,-1.917213135,-4.855153656,8.617579651,10.0752619
297,0,NAN,2.998576542,-1.860630798,-4.624333649,9.294921112,10.54713075
298,0,NAN,3.008548542,-1.961520996,-4.4206073,9.489666138,10.65096695
299,0,NAN,3.018521542,-2.17048645,-4.60083252,9.286089478,10.58820708
300,0,NAN,3.028493542,-2.414928131,-5.009632416,8.704698486,10.32957262
301,0,NAN,3.038466542,-2.705024872,-5.276826782,8.090076599,10.03052341
302,0,NAN,3.048438542,-3.09256897,-5.149291992,7.512727203,9.618745286
303,0,NAN,3.058411542,-3.235970764,-4.828658752,7.309749298,9.339158792
304,0,NAN,3.068383542,-3.250939636,-4.259691925,8.102201385,9.713869008
305,0,NAN,3.078356542,-3.206931152,-3.642375641,8.973689117,10.20188238
306,0,NAN,3.088328542,-2.898123322,-3.699257355,9.614356842,10.70137754
307,0,NAN,3.098301542,-2.61625946,-3.763773193,10.05833359,11.05354589
308,0,NAN,3.108273542,-2.631228333,-3.526815948,10.38345749,11.27732161
309,0,NAN,3.118246542,-3.188968506,-3.732488251,9.527387695,10.7178405
310,0,NAN,3.128218542,-3.650608521,-4.702022095,7.547754364,9.612728556
311,0,NAN,3.138191542,-3.63548996,-6.012397156,7.56107666,10.32160778
312,0,NAN,3.148163542,-3.14406189,-6.171665955,7.944728851,10.54008076
313,0,NAN,3.158136542,-2.066901855,-5.658233643,7.887697449,9.924891046
314,0,NAN,3.168108542,-1.412462769,-5.362598419,9.378746796,10.89556811
315,0,NAN,3.178080542,-0.5899232483,-4.401746521,10.65334625,11.54197419
316,0,NAN,3.188053542,-0.02305206299,-3.563489685,10.40156982,10.99507367
317,0,NAN,3.198025542,0.03248245239,-3.64132782,9.622140656,10.28814435
318,0,NAN,3.207998542,-0.005239105225,-4.226461029,8.832682343,9.791796446
319,0,NAN,3.217970542,-0.2707868958,-4.887037354,8.270451508,9.610245979
320,0,NAN,3.227943542,-0.9156459045,-5.407505035,7.755821686,9.499067752
321,0,NAN,3.237915542,-1.795815582,-5.972579956,7.306456146,9.606298265
322,0,NAN,3.247888542,-2.602188721,-6.777755585,6.842271423,9.97627361
323,0,NAN,3.257860542,-3.175346832,-7.578739929,6.216422882,10.30359354
324,0,NAN,3.267833542,-3.269051971,-7.848179626,5.395529938,10.06937771
325,0,NAN,3.277805542,-3.009042664,-7.847880249,5.046156464,9.80343089
326,0,NAN,3.287778542,-2.5812323,-7.592062225,5.819897461,9.908247851
327,0,NAN,3.297750542,-2.12842392,-6.478976898,7.253616028,9.95601705
328,0,NAN,3.307723542,-1.843566284,-5.595963135,8.151299286,10.05769457
329,0,NAN,3.317695542,-1.682052155,-5.786965942,8.656648407,10.5477882
330,0,NAN,3.327668542,-1.97978302,-6.282285919,8.452173615,10.71568458
331,0,NAN,3.337640542,-3.131787415,-6.282884674,7.847880249,10.52957533
332,0,NAN,3.347613542,-4.456981659,-6.131998444,7.387138367,10.5847014
333,0,NAN,3.357585542,-5.403014374,-6.109096069,7.147636414,10.84446059
334,0,NAN,3.367558542,-5.520370331,-6.083050232,7.335495758,11.01305983
335,0,NAN,3.377530167,-4.706662445,-5.881868591,7.751480713,10.80900101
336,0,NAN,3.387503167,-3.510350189,-5.585784302,8.189320221,10.51610719
337,0,NAN,3.397475167,-2.519111481,-5.191354523,8.735384674,10.46914657
338,0,NAN,3.407448167,-2.180814972,-5.015170898,8.374485168,10.00199455
339,0,NAN,3.417420167,-2.268382874,-5.032684479,7.81150589,9.565202465
340,0,NAN,3.427393167,-2.545905762,-5.095853119,7.761360168,9.627464195
341,0,NAN,3.437365167,-3.495830383,-5.431305542,7.382198639,9.809014563
342,0,NAN,3.447338167,-4.637655945,-5.888005829,6.901847534,10.18881567
343,0,NAN,3.457310167,-5.87034256,-6.016139374,6.712940369,10.75724979
344,0,NAN,3.467282167,-6.902146912,-5.456004181,6.907236328,11.18559463
345,0,NAN,3.477255167,-7.33414856,-4.918022919,7.181915131,11.3822928
346,0,NAN,3.487227167,-6.931336212,-4.372856598,7.592511292,11.17190781
