"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.876452617E1,4.805007935E-2,8.340954895E0,6.745572510E0,1.072737553E1
2.877449817E1,3.161425781E-1,7.896379395E0,4.413721619E0,9.051723162E0
2.878447117E1,3.781137085E-1,7.559130707E0,2.609972534E0,8.005959258E0
2.879444417E1,3.867956543E-1,8.101752319E0,1.175655212E0,8.195740766E0
2.880441717E1,4.810995483E-1,8.626261597E0,3.531156921E-1,8.646880166E0
2.881438917E1,6.620732117E-1,8.413404236E0,1.242416382E-2,8.439423329E0
2.882436217E1,1.010099487E0,8.294252014E0,-3.489244080E-1,8.362814460E0
2.883433517E1,1.584006042E0,8.428373108E0,-3.432362366E-1,8.582794388E0
2.884430817E1,2.267784119E0,7.915838928E0,-8.613088989E-1,8.279203088E0
2.885428017E1,2.312391357E0,7.615862732E0,-1.968556366E0,8.199008056E0
2.886425317E1,1.804647217E0,8.086334381E0,-3.634891205E0,9.047540515E0
2.887422617E1,1.379381561E0,8.664731598E0,-4.965474243E0,1.008147815E1
2.888419917E1,9.927355957E-1,9.283095703E0,-5.443280640E0,1.080697432E1
2.889417117E1,8.448431396E-1,1.033645523E1,-5.018314362E0,1.152126493E1
2.890414417E1,1.742825775E0,1.165895508E1,-3.592080231E0,1.232362429E1
2.891411717E1,2.467768250E0,1.274030640E1,-4.296066284E-1,1.298421538E1
2.892408917E1,2.919229431E0,1.424871964E1,2.402054901E0,1.474170205E1
2.893406217E1,2.960543518E0,1.474733276E1,4.111799469E0,1.559344530E1
2.894403517E1,2.518662415E0,1.414513504E1,4.321513367E0,1.500346571E1
2.895400817E1,2.174078979E0,1.286634430E1,2.113305359E0,1.321875541E1
2.896398117E1,2.171534271E0,1.113893646E1,-1.132245483E0,1.140497464E1
2.897395317E1,2.359543304E0,9.516909485E0,-4.793781281E0,1.091418113E1
2.898392617E1,2.436333618E0,8.149952087E0,-8.348738708E0,1.191884552E1
2.899389917E1,2.664459229E0,6.765481110E0,-1.061472656E1,1.286637080E1
2.900387117E1,3.651356964E0,5.906567230E0,-1.104313568E1,1.304495266E1
2.901384417E1,5.643564148E0,5.400170288E0,-8.826844482E0,1.178663815E1
2.902381717E1,7.191345520E0,4.104913788E0,-4.231251068E0,9.298884513E0
2.903379017E1,7.288493500E0,1.767674103E0,1.162632294E0,7.589369083E0
2.904376217E1,6.809339905E0,-9.719288635E-1,5.541925507E0,8.833158777E0
2.905373517E1,5.603597260E0,-2.508034515E0,9.029822388E0,1.091916809E1
2.906370817E1,3.562591553E0,-2.939587097E0,1.217343521E1,1.302020567E1
2.907368117E1,1.249152374E0,-2.707120514E0,1.462683334E1,1.492759648E1
2.908365317E1,-5.292993164E-1,-1.954785004E0,1.742241989E1,1.753972796E1
2.909362617E1,-5.721102905E-1,-1.271306305E0,2.004556503E1,2.009398436E1
2.910359917E1,1.422042847E-2,-6.041436768E-1,2.351100861E1,2.351877372E1
2.911357217E1,3.580554199E-1,-6.316864014E-1,2.538017166E1,2.539055622E1
2.912354417E1,7.777825928E-1,-7.858657837E-1,2.438549011E1,2.441054401E1
2.913351717E1,1.556163940E0,-3.209326172E-1,2.198987183E1,2.204720179E1
2.914349017E1,1.863175507E0,7.024891663E-1,1.996727783E1,2.006631750E1
2.915346317E1,1.705553284E0,2.201621704E0,1.845197891E1,1.866096396E1
2.916343517E1,2.056573334E0,3.212319946E0,1.762869095E1,1.803660827E1
2.917340817E1,3.463796997E0,4.458927612E0,1.874626694E1,1.957811148E1
2.918338117E1,5.360502777E0,5.382207642E0,2.026396088E1,2.164096254E1
2.919335417E1,6.621480560E0,5.284909973E0,2.088816284E1,2.254084349E1
2.920332617E1,5.571264496E0,6.414910126E0,2.041739182E1,2.211469983E1
2.921329917E1,3.201093292E0,7.771389313E0,1.834001175E1,2.017417956E1
2.922327217E1,1.212328949E0,7.012617188E0,1.590367813E1,1.742336131E1
2.923324617E1,-2.221380615E-1,6.246660004E0,1.330478256E1,1.469990971E1
2.924321817E1,-6.023474121E-1,5.601501617E0,1.108355164E1,1.243321196E1
2.925319117E1,-1.556762695E-1,4.353546753E0,9.419761505E0,1.037831929E1
2.926316417E1,8.885522461E-1,3.780089264E0,7.976163483E0,8.871177139E0
2.927313717E1,2.123334503E0,4.260140991E0,8.142317963E0,9.431579533E0
2.928310917E1,2.987786865E0,4.847669220E0,9.266180878E0,1.087606893E1
2.929308217E1,3.726051636E0,4.802014160E0,9.899513855E0,1.161650444E1
2.930305517E1,4.165986786E0,4.777165833E0,1.012344818E1,1.194407646E1
2.931302717E1,4.440066833E0,5.154830475E0,1.056532928E1,1.256633016E1
2.932300017E1,4.555626526E0,5.011578369E0,1.114866623E1,1.304463144E1
2.933297317E1,4.182602234E0,4.299808502E0,1.169233566E1,1.314127954E1
2.934294617E1,3.348237305E0,4.244273987E0,1.194396240E1,1.311040780E1
2.935291817E1,2.552042999E0,4.722978516E0,1.244467117E1,1.355320221E1
2.936289117E1,2.158062286E0,4.661007385E0,1.317754715E1,1.414319524E1
2.937286417E1,1.952090607E0,4.286037140E0,1.399514694E1,1.476634383E1
2.938283717E1,1.901645508E0,4.352947998E0,1.466994370E1,1.541984630E1
2.939280917E1,1.922003174E0,4.785698090E0,1.540835815E1,1.624852311E1
2.940278217E1,1.886077881E0,5.116360474E0,1.644330597E1,1.732387790E1
2.941275517E1,2.108964386E0,5.022056580E0,1.813972824E1,1.893986599E1
2.942272817E1,2.715802460E0,4.305197296E0,2.009630951E1,2.073094216E1
2.943270017E1,3.306923218E0,2.815794525E0,2.149140839E1,2.192589963E1
2.944267317E1,2.958148499E0,1.831291809E0,2.226694565E1,2.253710586E1
2.945264617E1,1.954485626E0,1.874551849E0,2.194286957E1,2.210935285E1
2.946261917E1,5.929170227E-1,2.039209442E0,2.064387085E1,2.075281498E1
2.947259117E1,-2.674937439E-1,2.392774200E0,1.900208496E1,1.915401144E1
2.948256417E1,-9.056167603E-2,2.818788300E0,1.743005402E1,1.765674239E1
2.949253717E1,1.017733612E0,2.077080688E0,1.706226883E1,1.721833510E1
